sample	cufflinks_file	htseq_count_file	Batch
48h_WT_rep1	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/48h_WT_rep1.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/48h_WT_rep1.tabular	batch1
48h_WT_rep2	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/48h_WT_rep2.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/48h_WT_rep2.tabular	batch4
48h_WT_rep3	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/48h_WT_rep3.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/48h_WT_rep3.tabular	batch3
54h_WT_rep1	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/54h_WT_rep1.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/54h_WT_rep1.tabular	batch1
54h_WT_rep2	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/54h_WT_rep2.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/54h_WT_rep2.tabular	batch3
54h_WT_rep3	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/54h_WT_rep3.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/54h_WT_rep3.tabular	batch3
60h_WT_rep1	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/60h_WT_rep1.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/60h_WT_rep1.tabular	batch2
60h_WT_rep2	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/60h_WT_rep2.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/60h_WT_rep2.tabular	batch4
60h_WT_rep3	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/60h_WT_rep3.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/60h_WT_rep3.tabular	batch3
66h_WT_rep1	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/66h_WT_rep1.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/66h_WT_rep1.tabular	batch2
66h_WT_rep2	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/66h_WT_rep2.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/66h_WT_rep2.tabular	batch4
66h_WT_rep3	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/66h_WT_rep3.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/66h_WT_rep3.tabular	batch4
72h_WT_rep1	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/72h_WT_rep1.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/72h_WT_rep1.tabular	batch1
72h_WT_rep2	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/72h_WT_rep2.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/72h_WT_rep2.tabular	batch4
72h_WT_rep3	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/72h_WT_rep3.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/72h_WT_rep3.tabular	batch3
78h_WT_rep1	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/78h_WT_rep1.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/78h_WT_rep1.tabular	batch1
78h_WT_rep2	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/78h_WT_rep2.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/78h_WT_rep2.tabular	batch3
78h_WT_rep3	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/78h_WT_rep3.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/78h_WT_rep3.tabular	batch3
84h_WT_rep1	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/768_Cufflinks_on_collection_425:_gene_expression/84h_WT_rep1.tabular	/scratch/ldelisle/Alex_plots/getData//df110e6c34933432_New_RNAseq/908_HTS_count_like_output/84h_WT_rep1.tabular	batch1
