Distance,Fluorescence,Marker,Condition,Time,Replicate
0,34.895,Hoxd4,0,117h,1
0.758,37.0009,Hoxd4,0,117h,1
1.515,37.9649,Hoxd4,0,117h,1
2.273,38.0826,Hoxd4,0,117h,1
3.03,38.5537,Hoxd4,0,117h,1
3.788,39.4751,Hoxd4,0,117h,1
4.546,40.5882,Hoxd4,0,117h,1
5.303,41.6874,Hoxd4,0,117h,1
6.061,42.6816,Hoxd4,0,117h,1
6.819,44.5215,Hoxd4,0,117h,1
7.576,45.7216,Hoxd4,0,117h,1
8.334,46.9103,Hoxd4,0,117h,1
9.091,47.9796,Hoxd4,0,117h,1
9.849,47.9983,Hoxd4,0,117h,1
10.607,48.5149,Hoxd4,0,117h,1
11.364,49.5244,Hoxd4,0,117h,1
12.122,50.977,Hoxd4,0,117h,1
12.879,52.6419,Hoxd4,0,117h,1
13.637,53.1434,Hoxd4,0,117h,1
14.395,53.2679,Hoxd4,0,117h,1
15.152,53.4145,Hoxd4,0,117h,1
15.91,53.1942,Hoxd4,0,117h,1
16.668,52.2665,Hoxd4,0,117h,1
17.425,51.5322,Hoxd4,0,117h,1
18.183,50.4108,Hoxd4,0,117h,1
18.94,50.178,Hoxd4,0,117h,1
19.698,50.8796,Hoxd4,0,117h,1
20.456,51.6667,Hoxd4,0,117h,1
21.213,52.1714,Hoxd4,0,117h,1
21.971,53.0692,Hoxd4,0,117h,1
22.729,54.8045,Hoxd4,0,117h,1
23.486,56.3533,Hoxd4,0,117h,1
24.244,57.4066,Hoxd4,0,117h,1
25.001,58.1977,Hoxd4,0,117h,1
25.759,59.5787,Hoxd4,0,117h,1
26.517,59.787,Hoxd4,0,117h,1
27.274,58.6681,Hoxd4,0,117h,1
28.032,57.4868,Hoxd4,0,117h,1
28.789,58.4079,Hoxd4,0,117h,1
29.547,59.3352,Hoxd4,0,117h,1
30.305,59.6209,Hoxd4,0,117h,1
31.062,59.543,Hoxd4,0,117h,1
31.82,59.8384,Hoxd4,0,117h,1
32.578,60.6041,Hoxd4,0,117h,1
33.335,62.0694,Hoxd4,0,117h,1
34.093,63.3311,Hoxd4,0,117h,1
34.85,64.2377,Hoxd4,0,117h,1
35.608,64.1592,Hoxd4,0,117h,1
36.366,63.0123,Hoxd4,0,117h,1
37.123,60.8158,Hoxd4,0,117h,1
37.881,60.8189,Hoxd4,0,117h,1
38.638,60.8531,Hoxd4,0,117h,1
39.396,59.8954,Hoxd4,0,117h,1
40.154,59.1463,Hoxd4,0,117h,1
40.911,58.564,Hoxd4,0,117h,1
41.669,57.8405,Hoxd4,0,117h,1
42.427,58.1636,Hoxd4,0,117h,1
43.184,58.8188,Hoxd4,0,117h,1
43.942,58.846,Hoxd4,0,117h,1
44.699,57.6612,Hoxd4,0,117h,1
45.457,56.6077,Hoxd4,0,117h,1
46.215,56.433,Hoxd4,0,117h,1
46.972,57.0156,Hoxd4,0,117h,1
47.73,57.4417,Hoxd4,0,117h,1
48.487,57.652,Hoxd4,0,117h,1
49.245,58.5979,Hoxd4,0,117h,1
50.003,58.8204,Hoxd4,0,117h,1
50.76,58.419,Hoxd4,0,117h,1
51.518,57.3552,Hoxd4,0,117h,1
52.276,56.8842,Hoxd4,0,117h,1
53.033,57.8791,Hoxd4,0,117h,1
53.791,59.7076,Hoxd4,0,117h,1
54.548,61.8505,Hoxd4,0,117h,1
55.306,61.4896,Hoxd4,0,117h,1
56.064,60.3246,Hoxd4,0,117h,1
56.821,58.6159,Hoxd4,0,117h,1
57.579,57.8659,Hoxd4,0,117h,1
58.337,57.1264,Hoxd4,0,117h,1
59.094,57.016,Hoxd4,0,117h,1
59.852,57.5479,Hoxd4,0,117h,1
60.609,58.5308,Hoxd4,0,117h,1
61.367,59.6372,Hoxd4,0,117h,1
62.125,59.9777,Hoxd4,0,117h,1
62.882,59.8149,Hoxd4,0,117h,1
63.64,59.0673,Hoxd4,0,117h,1
64.397,59.0381,Hoxd4,0,117h,1
65.155,59.4715,Hoxd4,0,117h,1
65.913,59.5343,Hoxd4,0,117h,1
66.67,59.8267,Hoxd4,0,117h,1
67.428,59.7745,Hoxd4,0,117h,1
68.186,58.9833,Hoxd4,0,117h,1
68.943,58.4423,Hoxd4,0,117h,1
69.701,58.4185,Hoxd4,0,117h,1
70.458,57.945,Hoxd4,0,117h,1
71.216,58.0003,Hoxd4,0,117h,1
71.974,58.8347,Hoxd4,0,117h,1
72.731,59.2811,Hoxd4,0,117h,1
73.489,58.7048,Hoxd4,0,117h,1
74.246,57.4189,Hoxd4,0,117h,1
75.004,56.3829,Hoxd4,0,117h,1
75.762,55.481,Hoxd4,0,117h,1
76.519,56.2656,Hoxd4,0,117h,1
77.277,58.0734,Hoxd4,0,117h,1
78.035,59.504,Hoxd4,0,117h,1
78.792,59.5361,Hoxd4,0,117h,1
79.55,59.2568,Hoxd4,0,117h,1
80.307,59.5521,Hoxd4,0,117h,1
81.065,59.7153,Hoxd4,0,117h,1
81.823,60.2703,Hoxd4,0,117h,1
82.58,61.0283,Hoxd4,0,117h,1
83.338,60.8925,Hoxd4,0,117h,1
84.095,60.9411,Hoxd4,0,117h,1
84.853,61.5952,Hoxd4,0,117h,1
85.611,62.8627,Hoxd4,0,117h,1
86.368,64.0463,Hoxd4,0,117h,1
87.126,63.4271,Hoxd4,0,117h,1
87.884,62.345,Hoxd4,0,117h,1
88.641,61.5034,Hoxd4,0,117h,1
89.399,60.907,Hoxd4,0,117h,1
90.156,61.053,Hoxd4,0,117h,1
90.914,61.2001,Hoxd4,0,117h,1
91.672,60.4538,Hoxd4,0,117h,1
92.429,60.5398,Hoxd4,0,117h,1
93.187,60.1215,Hoxd4,0,117h,1
93.945,58.7512,Hoxd4,0,117h,1
94.702,58.1085,Hoxd4,0,117h,1
95.46,58.2739,Hoxd4,0,117h,1
96.217,57.8523,Hoxd4,0,117h,1
96.975,58.4817,Hoxd4,0,117h,1
97.733,58.8489,Hoxd4,0,117h,1
98.49,59.4574,Hoxd4,0,117h,1
99.248,59.4468,Hoxd4,0,117h,1
100.005,59.606,Hoxd4,0,117h,1
100.763,58.8095,Hoxd4,0,117h,1
101.521,58.5373,Hoxd4,0,117h,1
102.278,59.0416,Hoxd4,0,117h,1
103.036,59.8053,Hoxd4,0,117h,1
103.794,60.2924,Hoxd4,0,117h,1
104.551,59.3437,Hoxd4,0,117h,1
105.309,58.5354,Hoxd4,0,117h,1
106.066,58.7045,Hoxd4,0,117h,1
106.824,58.2886,Hoxd4,0,117h,1
107.582,58.0714,Hoxd4,0,117h,1
108.339,58.2197,Hoxd4,0,117h,1
109.097,59.0454,Hoxd4,0,117h,1
109.854,59.5899,Hoxd4,0,117h,1
110.612,59.766,Hoxd4,0,117h,1
111.37,59.5235,Hoxd4,0,117h,1
112.127,60.1455,Hoxd4,0,117h,1
112.885,61.0703,Hoxd4,0,117h,1
113.643,61.8218,Hoxd4,0,117h,1
114.4,62.2447,Hoxd4,0,117h,1
115.158,62.9498,Hoxd4,0,117h,1
115.915,63.7964,Hoxd4,0,117h,1
116.673,63.0826,Hoxd4,0,117h,1
117.431,61.5706,Hoxd4,0,117h,1
118.188,60.1623,Hoxd4,0,117h,1
118.946,60.1252,Hoxd4,0,117h,1
119.703,60.0817,Hoxd4,0,117h,1
120.461,60.3336,Hoxd4,0,117h,1
121.219,61.0888,Hoxd4,0,117h,1
121.976,59.7198,Hoxd4,0,117h,1
122.734,59.3354,Hoxd4,0,117h,1
123.492,59.313,Hoxd4,0,117h,1
124.249,59.4607,Hoxd4,0,117h,1
125.007,60.7055,Hoxd4,0,117h,1
125.764,60.8988,Hoxd4,0,117h,1
126.522,60.9248,Hoxd4,0,117h,1
127.28,59.8811,Hoxd4,0,117h,1
128.037,58.638,Hoxd4,0,117h,1
128.795,57.5754,Hoxd4,0,117h,1
