sample_id,replicate,proportion.WT,Proportion.Cdh2KO,length
1,1,0,1,1733.05554
2,2,0,1,1878.743022
3,3,0,1,1763.608633
4,4,0,1,1288.661871
5,5,0,1,2581.413525
6,6,0,1,1874.058129
7,7,0,1,2574.183597
8,8,0,1,2222.06964
9,9,0,1,1758.607194
10,10,0,1,2217.207482
11,11,0,1,1821.359424
12,12,0,1,2161.773813
13,13,0,1,1905.87741
14,14,0,1,1798.884604
15,15,0,1,1609.133813
16,16,0,1,1719.482014
17,17,0,1,1952.738993
18,18,0,1,1880.22446
19,19,0,1,1893.772662
20,20,0,1,1909.19482
21,21,0,1,1700.919712
22,22,0,1,1825.66446
23,23,0,1,2017.428489
24,24,0,1,1618.18705
25,25,0,1,1789.907338
26,26,0,1,2333.405468
27,27,0,1,2166.509353
28,28,0,1,2054.945612
29,29,0,1,1840.21295
30,30,0,1,1706.199712
31,31,0,1,1429.550504
32,32,0,1,1795.010072
33,33,0,1,1896.583597
34,1,0.25,0.75,1504.05295
35,2,0.25,0.75,1549.20518
36,3,0.25,0.75,1796.326906
37,4,0.25,0.75,1966.856978
38,5,0.25,0.75,1888.986475
39,6,0.25,0.75,1653.931511
40,7,0.25,0.75,1595.813525
41,8,0.25,0.75,1682.256115
42,9,0.25,0.75,1665.048633
43,10,0.25,0.75,1862.637122
44,11,0.25,0.75,1479.41295
45,12,0.25,0.75,1811.863022
46,13,0.25,0.75,1864.903597
47,14,0.25,0.75,1608.285468
48,15,0.25,0.75,1460.39482
49,16,0.25,0.75,1805.240863
50,17,0.25,0.75,1538.771799
51,18,0.25,0.75,2038.68777
52,19,0.25,0.75,1491.543022
53,20,0.25,0.75,1593.698993
54,21,0.25,0.75,1520.196835
55,22,0.25,0.75,1699.830791
56,23,0.25,0.75,1466.62446
57,24,0.25,0.75,1303.286331
58,25,0.25,0.75,1716.658417
59,26,0.25,0.75,1545.697842
60,27,0.25,0.75,1508.180719
61,28,0.25,0.75,1828.564029
62,29,0.25,0.75,1385.66446
63,30,0.25,0.75,1416.534101
64,31,0.25,0.75,1681.00259
65,32,0.25,0.75,1692.689496
66,33,0.25,0.75,1710.479424
67,34,0.25,0.75,1297.474532
68,35,0.25,0.75,1930.656691
69,36,0.25,0.75,1625.252374
70,37,0.25,0.75,1825.259281
71,38,0.25,0.75,1621.960288
72,39,0.25,0.75,1545.178705
73,40,0.25,0.75,1386.297554
