,114_1,114_2,114_3,114_4,114_5,114_6,114_7,114_8,114_9,114_10,120_1,120_2,120_3,120_4,120_5,120_6,120_7,120_8,mg_1,mg_2,mg_3,mg_4,mg_5,mg_6,mg_7,mg_8,mg_9
S1,780,560,560,574,434,490,481,303,551,489,543,504,504,560,465,458,590,597,405,327,420,447,403,422,416,349,374
S2,900,635,644,644,512,574,559,411,636,574,628,560,690,636,527,520,660,675,445,382,470,560,451,470,465,378,445
S3,1078,706,745,737,621,683,683,551,745,683,706,644,830,706,613,613,750,783,534,442,539,627,509,526,541,439,480
S4,1233,790,846,861,760,830,822,714,861,815,830,745,977,892,745,760,830,923,642,500,603,685,588,600,588,497,516
S5,1390,900,977,1032,908,985,985,861,1032,962,946,877,1078,1047,861,877,892,1032,726,540,667,718,658,681,642,564,576
S6,1575,1032,1125,1187,1070,1156,1156,1008,1187,1125,1086,990,1218,1202,954,1008,1024,1179,823,597,731,778,702,740,703,635,630
S7,1730,1164,1295,1303,1233,1303,1334,1226,1326,1257,1241,1156,1381,1350,1117,1133,1148,1342,897,710,805,834,774,819,762,717,708
S8,,1326,1443,1412,1396,1451,1466,1381,1435,1404,1396,1340,1467,1443,1233,1249,1264,1489,1010,816,877,907,876,898,826,803,818
S9,,1474,,,,,1575,1536,,,1544,1482,1598,1590,1350,1396,1381,1629,1105,979,991,990,989,1014,895,875,945
S10,,,,,,,,,,,1676,1629,,1699,1466,1536,1474,1730,,1126,1124,1187,1090,1116,1006,987,1069
S11,,,,,,,,,,,1807,1730,,,1559,1629,1575,1846,,1297,1355,,1191,1270,1139,1096,1237
S12,,,,,,,,,,,1939,,,,,,,,,1424,,,1276,,1326,1212,
S13,,,,,,,,,,,,,,,,,,,,,,,1411,,,1364,
S14,,,,,,,,,,,,,,,,,,,,,,,,,,1421,
