somit number,size,Replicate,Condition
1,120,114_1,114h
2,178,114_1,114h
3,155,114_1,114h
4,157,114_1,114h
5,185,114_1,114h
6,155,114_1,114h
1,75,114_2,114h
2,71,114_2,114h
3,84,114_2,114h
4,110,114_2,114h
5,132,114_2,114h
6,132,114_2,114h
7,162,114_2,114h
1,84,114_3,114h
2,101,114_3,114h
3,101,114_3,114h
4,131,114_3,114h
5,148,114_3,114h
6,170,114_3,114h
7,148,114_3,114h
1,70,114_4,114h
2,93,114_4,114h
3,124,114_4,114h
4,171,114_4,114h
5,155,114_4,114h
6,116,114_4,114h
7,109,114_4,114h
1,78,114_5,114h
2,109,114_5,114h
3,139,114_5,114h
4,148,114_5,114h
5,162,114_5,114h
6,163,114_5,114h
7,163,114_5,114h
1,84,114_6,114h
2,109,114_6,114h
3,147,114_6,114h
4,155,114_6,114h
5,171,114_6,114h
6,147,114_6,114h
7,148,114_6,114h
1,78,114_7,114h
2,124,114_7,114h
3,139,114_7,114h
4,163,114_7,114h
5,171,114_7,114h
6,178,114_7,114h
7,132,114_7,114h
8,109,114_7,114h
1,108,114_8,114h
2,140,114_8,114h
3,163,114_8,114h
4,147,114_8,114h
5,147,114_8,114h
6,218,114_8,114h
7,155,114_8,114h
8,155,114_8,114h
1,85,114_9,114h
2,109,114_9,114h
3,116,114_9,114h
4,171,114_9,114h
5,155,114_9,114h
6,139,114_9,114h
7,109,114_9,114h
1,85,114_10,114h
2,109,114_10,114h
3,132,114_10,114h
4,147,114_10,114h
5,163,114_10,114h
6,132,114_10,114h
7,147,114_10,114h
1,85,120_1,120h
2,78,120_1,120h
3,124,120_1,120h
4,116,120_1,120h
5,140,120_1,120h
6,155,120_1,120h
7,155,120_1,120h
8,148,120_1,120h
9,132,120_1,120h
10,131,120_1,120h
11,132,120_1,120h
1,56,120_2,120h
2,84,120_2,120h
3,101,120_2,120h
4,132,120_2,120h
5,113,120_2,120h
6,166,120_2,120h
7,184,120_2,120h
8,142,120_2,120h
9,147,120_2,120h
10,101,120_2,120h
1,186,120_3,120h
2,140,120_3,120h
3,147,120_3,120h
4,101,120_3,120h
5,140,120_3,120h
6,163,120_3,120h
7,86,120_3,120h
8,131,120_3,120h
1,76,120_4,120h
2,70,120_4,120h
3,186,120_4,120h
4,155,120_4,120h
5,155,120_4,120h
6,148,120_4,120h
7,93,120_4,120h
8,147,120_4,120h
9,109,120_4,120h
1,62,120_5,120h
2,86,120_5,120h
3,132,120_5,120h
4,116,120_5,120h
5,93,120_5,120h
6,163,120_5,120h
7,116,120_5,120h
8,117,120_5,120h
9,116,120_5,120h
10,93,120_5,120h
1,62,120_6,120h
2,93,120_6,120h
3,147,120_6,120h
4,117,120_6,120h
5,131,120_6,120h
6,125,120_6,120h
7,116,120_6,120h
8,147,120_6,120h
9,140,120_6,120h
10,93,120_6,120h
1,70,120_7,120h
2,90,120_7,120h
3,80,120_7,120h
4,62,120_7,120h
5,132,120_7,120h
6,124,120_7,120h
7,116,120_7,120h
8,117,120_7,120h
9,93,120_7,120h
10,101,120_7,120h
1,78,120_8,120h
2,108,120_8,120h
3,140,120_8,120h
4,109,120_8,120h
5,147,120_8,120h
6,163,120_8,120h
7,147,120_8,120h
8,140,120_8,120h
9,101,120_8,120h
10,116,120_8,120h
1,40,120mg_1,120h - TLS
2,89,120mg_1,120h - TLS
3,108,120mg_1,120h - TLS
4,84,120mg_1,120h - TLS
5,97,120mg_1,120h - TLS
6,74,120mg_1,120h - TLS
7,113,120mg_1,120h - TLS
8,95,120mg_1,120h - TLS
1,55,120mg_2,120h - TLS
2,60,120mg_2,120h - TLS
3,58,120mg_2,120h - TLS
4,40,120mg_2,120h - TLS
5,57,120mg_2,120h - TLS
6,113,120mg_2,120h - TLS
7,106,120mg_2,120h - TLS
8,163,120mg_2,120h - TLS
9,147,120mg_2,120h - TLS
10,171,120mg_2,120h - TLS
11,127,120mg_2,120h - TLS
1,50,120mg_3,120h - TLS
2,69,120mg_3,120h - TLS
3,64,120mg_3,120h - TLS
4,64,120mg_3,120h - TLS
5,64,120mg_3,120h - TLS
6,74,120mg_3,120h - TLS
7,72,120mg_3,120h - TLS
8,114,120mg_3,120h - TLS
9,133,120mg_3,120h - TLS
10,231,120mg_3,120h - TLS
1,113,120mg_4,120h - TLS
2,67,120mg_4,120h - TLS
3,58,120mg_4,120h - TLS
4,33,120mg_4,120h - TLS
5,60,120mg_4,120h - TLS
6,56,120mg_4,120h - TLS
7,73,120mg_4,120h - TLS
8,83,120mg_4,120h - TLS
9,197,120mg_4,120h - TLS
1,48,120mg_5,120h - TLS
2,58,120mg_5,120h - TLS
3,79,120mg_5,120h - TLS
4,70,120mg_5,120h - TLS
5,44,120mg_5,120h - TLS
6,72,120mg_5,120h - TLS
7,102,120mg_5,120h - TLS
8,113,120mg_5,120h - TLS
9,101,120mg_5,120h - TLS
10,101,120mg_5,120h - TLS
11,85,120mg_5,120h - TLS
12,135,120mg_5,120h - TLS
1,48,120mg_6,120h - TLS
2,56,120mg_6,120h - TLS
3,74,120mg_6,120h - TLS
4,81,120mg_6,120h - TLS
5,59,120mg_6,120h - TLS
6,79,120mg_6,120h - TLS
7,79,120mg_6,120h - TLS
8,116,120mg_6,120h - TLS
9,102,120mg_6,120h - TLS
10,154,120mg_6,120h - TLS
1,49,120mg_7,120h - TLS
2,76,120mg_7,120h - TLS
3,47,120mg_7,120h - TLS
4,54,120mg_7,120h - TLS
5,61,120mg_7,120h - TLS
6,59,120mg_7,120h - TLS
7,64,120mg_7,120h - TLS
8,69,120mg_7,120h - TLS
9,111,120mg_7,120h - TLS
10,133,120mg_7,120h - TLS
11,187,120mg_7,120h - TLS
1,29,120mg_8,120h - TLS
2,61,120mg_8,120h - TLS
3,58,120mg_8,120h - TLS
4,67,120mg_8,120h - TLS
5,71,120mg_8,120h - TLS
6,82,120mg_8,120h - TLS
7,86,120mg_8,120h - TLS
8,72,120mg_8,120h - TLS
9,112,120mg_8,120h - TLS
10,109,120mg_8,120h - TLS
11,116,120mg_8,120h - TLS
12,152,120mg_8,120h - TLS
1,71,120mg_9,120h - TLS
2,35,120mg_9,120h - TLS
3,36,120mg_9,120h - TLS
4,60,120mg_9,120h - TLS
5,54,120mg_9,120h - TLS
6,78,120mg_9,120h - TLS
7,110,120mg_9,120h - TLS
8,127,120mg_9,120h - TLS
9,124,120mg_9,120h - TLS
10,168,120mg_9,120h - TLS
