gene	AverageSnai1log2FC	ConcordentSnai1log2FCSign	MaxpValueSnai1	Clone1	Clone2
Npbwr1	-6.29841626286218	TRUE	5.52675711491998e-18	-6.80391523569196	-5.79291729003239
Crispld1	-2.02382798719258	TRUE	1.87557006957093e-05	-2.23905220720397	-1.80860376718119
1700019D03Rik	2.81561532837018	TRUE	1.15714810784547e-24	2.94459580318833	2.68663485355203
Fn1	-2.13978794745104	TRUE	7.33159410706209e-71	-2.39967092174107	-1.87990497316101
2810459M11Rik	2.04669285661517	TRUE	3.54493120279011e-08	2.21012778206779	1.88325793116256
Cxcr4	-3.62710954384794	TRUE	6.51171086057355e-109	-3.71107547824588	-3.54314360944999
Tdrd5	2.87042734150389	TRUE	1.81088919393178e-107	2.79548354756706	2.94537113544071
Brinp2	2.20342020600309	TRUE	4.06616512572295e-05	2.38778528668537	2.01905512532081
Pld5	-3.80163483889327	TRUE	6.71986050728328e-08	-3.86856125880378	-3.73470841898277
Kif26b	-3.13952533499415	TRUE	1.57943507328242e-159	-3.56610268389628	-2.71294798609201
Lefty2	2.21826152284288	TRUE	2.830835988215e-05	1.50454888855552	2.93197415713024
Lefty1	3.53550624204409	TRUE	4.03616635529143e-29	2.94347650090752	4.12753598318065
Sertad4	2.26447342145577	TRUE	1.82546268637864e-12	2.32851365915309	2.20043318375845
Plxna2	-2.32087953569542	TRUE	6.30728026912837e-56	-2.56436053753125	-2.07739853385959
Itga8	-2.45484198245223	TRUE	6.41598566917237e-17	-2.97623759256472	-1.93344637233974
Nrarp	-2.22409351929471	TRUE	6.55297415641239e-125	-2.41621792526901	-2.03196911332042
Adamtsl2	-2.8178697811045	TRUE	5.96056301207932e-17	-3.32447040249786	-2.31126915971114
Ntng2	-3.53396378494298	TRUE	2.27259364180616e-10	-3.56045966837645	-3.50746790150951
Kcnj3	2.74697705495986	TRUE	6.33357284740317e-20	2.89436334076758	2.59959076915213
Ifih1	3.24733847172715	TRUE	1.87432913130472e-12	2.87004115256551	3.62463579088879
Gca	2.24047899180425	TRUE	1.4434429946165e-18	2.26618416337599	2.21477382023251
Kcnh7	-2.09935412976715	TRUE	3.55564015174752e-09	-2.30340296122977	-1.89530529830453
Galnt3	2.82816801620355	TRUE	7.95704323302766e-13	2.97035399097553	2.68598204143157
Scn9a	2.86524593866813	TRUE	4.67006235613038e-33	2.70791743003425	3.022574447302
Hoxd3	-2.52314373946013	TRUE	5.3424702933519e-82	-2.78144143983406	-2.26484603908619
Hoxd4	-2.57615847214842	TRUE	5.54567903054253e-94	-2.88300573312549	-2.26931121117135
Itga4	-2.49913271271672	TRUE	1.21967163661048e-05	-2.30365249588112	-2.69461292955231
Frzb	-2.017135109911	TRUE	1.12937602236349e-52	-1.90462731814948	-2.12964290167251
Wt1	4.84327944800046	TRUE	2.80093811496081e-11	5.06573931690452	4.62081957909639
Ryr3	-3.88758806599972	TRUE	2.9941319236637e-21	-4.03544730588081	-3.73972882611863
Actc1	3.00181082431653	TRUE	8.04213791893724e-06	3.38493186244877	2.61868978618429
Sema6d	-3.68717795128664	TRUE	1.18566873277096e-38	-3.808618797682	-3.56573710489128
Slc27a2	2.3983883538447	TRUE	1.46225038374019e-24	2.56968919151542	2.22708751617399
Ism1	-2.75166405978903	TRUE	3.09501913117109e-55	-3.01334902858708	-2.48997909099097
Acss1	2.51379432840339	TRUE	2.13374526472096e-08	2.40299032551359	2.62459833129319
Myl9	2.9735155653479	TRUE	3.19505859523362e-15	3.00358123285765	2.94344989783814
Ppp1r16b	2.96524186029071	TRUE	2.18864608676176e-06	2.65255910738994	3.27792461319148
Zfp663	-2.01357015879003	TRUE	1.47090986756048e-05	-2.03306273879758	-1.99407757878249
Snai1	-3.65026845050973	TRUE	1.3027473314464e-66	-4.8697788361999	-2.43075806481955
Tfap2c	2.86150079044618	TRUE	1.51169339040702e-29	3.10839802043476	2.61460356045761
Pim2	3.71609062113128	TRUE	2.08347387756192e-57	3.96470170045154	3.46747954181102
Eras	2.16799496478032	TRUE	4.81061219296908e-05	2.31473563009318	2.02125429946746
Slitrk2	2.03482959939426	TRUE	7.23246333708301e-10	2.0542432602719	2.01541593851662
Fmr1nb	2.14720617571097	TRUE	2.4995360995632e-06	1.9035325502565	2.39087980116543
Slc7a3	2.38334302561237	TRUE	2.75814495725364e-42	2.60278340695978	2.16390264426495
Cited1	-3.02932739013383	TRUE	6.22115669501624e-28	-3.53732381785925	-2.52133096240842
Pcdh19	-3.99900751579026	TRUE	2.15828176489611e-66	-4.15748679657723	-3.84052823500328
Gpm6b	2.56990188321161	TRUE	2.64331836869429e-05	2.69037249754392	2.4494312688793
Tmem154	3.05974401635411	TRUE	1.12012769598072e-05	3.00771113089572	3.11177690181251
Rab25	2.69958318514376	TRUE	5.6655725743265e-12	2.71045761604377	2.68870875424375
Pglyrp3	-5.59790778509947	TRUE	1.59496445989479e-12	-6.57439854219196	-4.62141702800697
Pdzk1	3.22595730028278	TRUE	3.66207198260054e-49	3.33718054885905	3.11473405170651
Cd2	-4.25080240771171	TRUE	3.05247067548263e-05	-4.16317956418973	-4.33842525123369
Gbp2b	5.52128524231327	TRUE	8.17962534924966e-14	4.97889190646664	6.06367857815989
Gbp2	5.77016719178752	TRUE	8.61949605454396e-21	5.09206939048921	6.44826499308583
Col24a1	-2.10790974705907	TRUE	1.37141470693757e-07	-2.35321454706737	-1.86260494705077
Runx1t1	3.38839075564363	TRUE	8.58614804923566e-18	3.39090044553918	3.38588106574808
Cnr1	-2.17004430308076	TRUE	5.33528382597502e-33	-2.03927083563999	-2.30081777052152
Svep1	-2.5227463173824	TRUE	2.41588357093255e-10	-2.7523595392123	-2.29313309555251
Mup6	3.86519679415823	TRUE	1.31630250609226e-20	3.8395656271637	3.89082796115275
Bspry	2.65750139635681	TRUE	1.67437771137233e-23	2.6127457585237	2.70225703418993
Rasef	2.35902427393465	TRUE	2.60834112725455e-09	2.44171930487596	2.27632924299334
L1td1	3.25388895472685	TRUE	2.04781226468206e-112	3.28504042867892	3.22273748077477
Cdcp2	-4.23075160165723	TRUE	2.76487072320742e-06	-4.96202333192461	-3.49947987138985
Rab3b	2.86264823097468	TRUE	3.87368033907739e-07	2.39097047981029	3.33432598213908
Rimkla	2.0730198915123	TRUE	3.77396125103234e-09	2.00544944283786	2.14059034018673
Draxin	-2.19813698238431	TRUE	7.17345528797955e-30	-2.44598324738779	-1.95029071738083
Trp73	2.43632057239895	TRUE	2.65874461388469e-15	2.66933017778318	2.20331096701472
Hes5	-2.50236419516723	TRUE	7.5468446789995e-20	-3.02918869389329	-1.97553969644116
Isg15	4.04858696206973	TRUE	2.2310526316043e-08	3.2078458766459	4.88932804749356
Sema3a	-2.42921657798183	TRUE	1.81220805548132e-37	-2.73628676725898	-2.12214638870468
Cd36	2.5920925916196	TRUE	1.90565076566428e-14	2.41408557283912	2.77009961040008
Wdr86	2.1125192123936	TRUE	1.83650093949238e-06	2.06591519581435	2.15912322897286
Cnpy1	2.2491463002166	TRUE	1.70100340239987e-55	2.43124996345784	2.06704263697535
Kcnk3	-2.69373266252614	TRUE	6.86934025818131e-07	-2.97571077457008	-2.41175455048221
