gene_id	gene_short_name	120h_Cdh2Het_rep1	120h_Cdh2Het_rep2	120h_Cdh2KO_Clone2_rep1	120h_Cdh2KO_Clone2_rep2	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000024304	Cdh2	4867.52762585603	4880.21511329762	22.1097733519395	24	2448.4631281264	-7.72619784913003	0.214667408179201	-35.9914805636463	1.13700843967561e-283	1.31108443178994e-279
ENSMUSG00000051855	Mest	29355.5640918467	29029.4646330141	20671.7168435071	21209	25066.436392092	-0.479461369750632	0.0255650689446295	-18.7545502337225	1.77714675135874e-78	1.02461395949588e-74
ENSMUSG00000061353	Cxcl12	7165.33532645965	7460.34663560821	4590.54169219644	4606	5955.55591356608	-0.669128253649375	0.040341346928268	-16.5866611950059	8.70257034173288e-62	3.34497795368406e-58
ENSMUSG00000033799	Tasor2	1577.688512248	1629.27110432823	2935.9936530263	2867	2252.48831740063	0.856079291758184	0.0601772248999809	14.2259682659188	6.32231656318916e-46	1.82256580725335e-42
ENSMUSG00000021248	Tmed10	702.190909807346	731.598084155381	1441.74147065772	1438	1078.38261615511	1.0066035284084	0.0847746498838616	11.8738742039915	1.61797536839495e-32	3.73137479459243e-29
ENSMUSG00000032449	Slc25a36	855.577292942568	849.9129078541	1588.21871911432	1671	1241.17722997775	0.933943023991209	0.0798428721880469	11.6972623654066	1.3163183125082e-31	2.52974441025534e-28
ENSMUSG00000067786	Nnat	10222.1068189401	9992.71804560006	7484.15827963152	7814	8878.24578604293	-0.402433143771033	0.0356953892070015	-11.2740931731344	1.76184579211359e-29	2.90226340412312e-26
ENSMUSG00000028792	Ak2	1355.57706134439	1307.97580327483	2168.60026960273	2162	1748.53828355549	0.700862336193392	0.0669170028273309	10.4736062074068	1.14207523515306e-25	1.64615869206875e-22
ENSMUSG00000001440	Kpnb1	19030.8676789914	19095.3612707143	22804.3887314129	22969	20974.9044202797	0.263713962183409	0.0253937021615021	10.3850143829445	2.90125588100782e-25	3.71715350710013e-22
ENSMUSG00000032012	Nectin1	3689.24131904455	3713.34873278273	2613.55945831052	2542	3139.53737753445	-0.521618864419412	0.0510882894837647	-10.2101454108221	1.78596984783244e-24	2.05940183153558e-21
ENSMUSG00000066705	Fxyd6	3552.7871989827	3517.96645511512	2526.04160545909	2522	3029.69881488923	-0.486199660134109	0.0514271092502933	-9.45415107366423	3.25653673009326e-21	3.41373863951867e-18
ENSMUSG00000038192	Cer1	405.378298285943	414.644611494593	855.832476831325	804	619.963846652965	1.01797148025207	0.111611417750031	9.1206751134723	7.46577896470768e-20	7.17399143683702e-17
ENSMUSG00000041773	Enc1	1414.34197436373	1477.30711058676	2104.11343065958	2251	1811.69062890252	0.590807532049523	0.0684053874261512	8.63685674885394	5.77807622802098e-18	5.12515361425461e-15
ENSMUSG00000025937	Lactb2	354.581509065837	366.884499175844	705.670266149403	727	538.534068597771	0.989911639117336	0.118409868184615	8.36004341778295	6.26951787539785e-17	5.1638436158009e-14
ENSMUSG00000024598	Fbn2	11042.8235702611	10810.0672405096	9123.96646990037	9234	10052.7143201677	-0.251616450538385	0.0324118084404287	-7.76311050340937	8.28713469987195e-15	6.3705966816149e-12
ENSMUSG00000017756	Slc12a7	991.035397529517	961.714988963899	1466.61496567865	1487	1226.59133804302	0.596566104196906	0.0786294519375341	7.58705662441649	3.27254100107686e-14	2.35847939271358e-11
ENSMUSG00000024754	Cemip2	1368.52526251815	1382.87234304741	2117.93203900454	1900	1692.33241114252	0.547008156492395	0.0731969745906142	7.47309789170625	7.83285325281731e-14	5.31297828577861e-11
ENSMUSG00000074794	Arrdc3	2471.11439323692	2284.88719161288	1748.51457591588	1573	2019.37904019142	-0.51762869344526	0.0701183162003307	-7.38221796379672	1.55674058325068e-13	9.97265314747976e-11
ENSMUSG00000048138	Dmrt2	1793.82387030217	1735.64589994726	1211.43133157502	1238	1494.72527545611	-0.527454385226133	0.071708334634374	-7.35555201380027	1.90139698052468e-13	1.1539478201279e-10
ENSMUSG00000004415	Col26a1	1479.0829802325	1300.37760358775	888.075896302904	903	1142.63412003079	-0.634960622400427	0.087648972732078	-7.24435897658892	4.34489228458079e-13	2.50504764667505e-10
ENSMUSG00000040249	Lrp1	5208.16491827321	5171.11761560272	4212.83306410081	4178	4692.52889949419	-0.306809037538953	0.0425701416518891	-7.20714156997262	5.71385910375982e-13	3.13745282502164e-10
ENSMUSG00000020875	Hoxb9	3776.89068083611	4169.24071400715	5046.55576758019	5062	4513.67179060586	0.34788553081332	0.0500245722013372	6.9542929705258	3.54334568594601e-12	1.7807488315269e-09
ENSMUSG00000032076	Cadm1	9333.66101532574	8838.87715026301	7626.02932530647	7573	8342.8918727238	-0.258036450099356	0.0371064463686985	-6.95395208518337	3.55192291432822e-12	1.7807488315269e-09
ENSMUSG00000001493	Meox1	7703.18368290782	7397.39012391532	6335.371305887	6241	6919.23627817754	-0.26404130443814	0.0382082856855137	-6.91057710914909	4.82685980345157e-12	2.28382162436054e-09
ENSMUSG00000032228	Tcf12	6415.3356738569	6398.7695936142	5231.72511940269	5377	5855.70759671845	-0.27269249927393	0.0394808258668494	-6.90696036079884	4.95148214456798e-12	2.28382162436054e-09
ENSMUSG00000003153	Slc2a3	6662.34751163311	7143.39316294742	8284.716323083	8405	7623.86424941588	0.274043477454478	0.0397959945926908	6.88620752563906	5.72993856059803e-12	2.46016389029997e-09
ENSMUSG00000030036	Mogs	858.56533936728	977.9968454362	1381.86083449622	1388	1151.60575482492	0.593983751242969	0.0862665096237951	6.88545014552355	5.76050863221744e-12	2.46016389029997e-09
ENSMUSG00000030029	Lrig1	4515.93416321491	4256.07728185942	3473.07689736716	3531	3944.02208561037	-0.325220298295395	0.0485509768337129	-6.69853254259487	2.10522845931568e-11	8.66978191584613e-09
ENSMUSG00000039115	Itga9	1625.49725504339	1516.38356612028	1068.63904534374	1130	1335.12996662685	-0.515994465165646	0.0782187590572112	-6.59681221467903	4.20092301909293e-11	1.67037390804002e-08
ENSMUSG00000026131	Dst	8083.66159432117	7822.88930639144	6789.54290015809	6647	7335.77345021768	-0.243527550178839	0.03710068742286	-6.56396328734294	5.23961070473205e-11	2.01393170120884e-08
ENSMUSG00000030352	Tspan9	2732.07044766177	2490.03858316386	1964.08486609729	1971	2289.29847423073	-0.408876735168172	0.0630804340136986	-6.48183135644533	9.06158956603724e-11	3.37061900922501e-08
ENSMUSG00000026034	Clk1	896.413927413634	828.203765891033	1293.42174108846	1244	1065.50985859828	0.556568794436838	0.0862502529171405	6.45295260724078	1.09691670845556e-10	3.95267080162534e-08
ENSMUSG00000050953	Gja1	5982.06894227365	6648.42472618948	8820.87832686753	8750	7550.34299883267	0.476485445327726	0.0744707790490852	6.39828737408085	1.57129353288073e-10	5.49048052352962e-08
ENSMUSG00000037169	Mycn	1648.40561096618	1599.96376267809	2217.42601908827	2115	1895.19884818313	0.415501720797907	0.0652011944408202	6.37260903517705	1.85839206051016e-10	6.30268201463017e-08
ENSMUSG00000032193	Ldlr	3339.63988735324	3310.64414936782	4035.95487728529	4099	3696.30972850159	0.290537776583186	0.0472723351846859	6.14604240404242	7.94400548195243e-10	2.61720934892553e-07
ENSMUSG00000019055	Plod1	1872.50909281959	1820.31155360323	1369.88470726392	1390	1613.17633842168	-0.420466217478055	0.0688755043745717	-6.10472796237392	1.02975920228292e-09	3.29837593375677e-07
ENSMUSG00000051316	Taf7	1499.00328973058	1469.70891089968	1101.80370537165	1032	1275.62897650048	-0.475988256072845	0.0782523112421444	-6.08273734688736	1.18147809115469e-09	3.68206050516343e-07
ENSMUSG00000021806	Nid2	7541.82917597337	7388.70646713009	6473.55738933662	6250	6913.52325811002	-0.230668252871781	0.0379695900492674	-6.07507883473268	1.23926823781244e-09	3.76052685531981e-07
ENSMUSG00000020044	Timp3	999.003521328749	864.023850130094	561.956739361796	629	763.49602770516	-0.6473640047475	0.108534798516965	-5.96457554252806	2.45270777664407e-09	6.94130058794498e-07
ENSMUSG00000021136	Smoc1	6077.68642786444	5905.97207105257	5041.94956479854	5094	5529.90201592888	-0.241856724223548	0.0405350817892373	-5.96660259577333	2.42244443691156e-09	6.94130058794498e-07
ENSMUSG00000045179	Sox3	302.788704370827	346.26081431093	638.419705537253	524	452.867306054753	0.843103871866355	0.141376035262649	5.96355577732839	2.46807149514998e-09	6.94130058794498e-07
ENSMUSG00000016559	H3f3b	17325.6891859557	17050.3600977934	15495.2661574843	14949	16205.0788603083	-0.175145084731043	0.0294000930258612	-5.95729695742731	2.56444017497209e-09	7.04060944228646e-07
ENSMUSG00000024597	Slc12a2	4397.40832170132	4103.02783101979	3498.87163294443	3422	3855.32694641639	-0.296876748036209	0.0500084601596822	-5.93653048080766	2.91116813444196e-09	7.806669711221e-07
ENSMUSG00000044461	Shisa2	1398.40572676527	1338.36860202312	911.106910211174	1022	1167.47030974989	-0.502794762472876	0.0853117274940682	-5.89361834816715	3.77829268696977e-09	9.901702948511e-07
ENSMUSG00000032744	Heyl	381.473926888246	409.217326003826	217.412771294072	200	302.026006046536	-0.920242102507548	0.157819390536352	-5.83098248814728	5.51019678649798e-09	1.38126259011105e-06
ENSMUSG00000048562	Sp8	819.720735846023	829.289222989186	1210.51009101869	1139	999.630012463474	0.51130019718237	0.0876353929103475	5.83440297580954	5.39835095029219e-09	1.38126259011105e-06
ENSMUSG00000000392	Fap	358.565570965453	350.602642703543	182.405630153501	182	268.393460955624	-0.960729056704749	0.1652689074741	-5.81312644579144	6.13167093473046e-09	1.50434675634845e-06
ENSMUSG00000074637	Sox2	1385.45752559152	1557.63093585011	2123.45948234252	1896	1740.63698594604	0.451085008916928	0.077996431581508	5.78340572472902	7.32032202167669e-09	1.75855485899904e-06
ENSMUSG00000023169	Slc38a1	3309.75942310612	3524.47919770404	4166.77103628427	4132	3783.25241427361	0.280661229491274	0.0492697273349452	5.69642343630775	1.22346795829864e-08	2.87914469941665e-06
ENSMUSG00000057751	Megf6	1378.48541726719	1434.97428375877	1016.12833363289	1048	1219.39700866471	-0.446770259939289	0.0791114102208905	-5.64735552926994	1.62934655066883e-08	3.75759901515245e-06
ENSMUSG00000062825	Actg1	10648.4014421991	10740.5979862277	12012.0556139975	12080	11370.2637606061	0.171715195646832	0.0305092419394722	5.6283009583621	1.8199334823035e-08	4.11483391851797e-06
ENSMUSG00000035279	Ssc5d	492.031644602594	509.079379033937	286.505813018883	306	398.404209163854	-0.75710189406641	0.136229617080926	-5.55754255417644	2.73599293933923e-08	6.06706434298474e-06
ENSMUSG00000024921	Smarca2	459.163133930761	390.764555335219	228.467657970042	240	329.598836809005	-0.861010180172201	0.155088301610081	-5.55174162869442	2.82837421727568e-08	6.15358171686903e-06
ENSMUSG00000037034	Pax1	486.05555175317	471.088380598569	243.207506871335	302	375.587859805768	-0.814148221593947	0.148226984424749	-5.49257764875645	3.96109298577611e-08	8.4584005961082e-06
ENSMUSG00000050966	Lin28a	9459.15896516364	9628.00446062052	10642.1709067335	11027	10189.0835831294	0.182973859912546	0.0334573815055083	5.46886372092274	4.52929818437133e-08	9.4958795207247e-06
ENSMUSG00000063972	Nr6a1	5057.7665815627	5306.7997528719	6035.04688452315	6078	5619.40330473944	0.225214110892861	0.0414524030550116	5.4330773198837	5.53903918186853e-08	1.14054751439511e-05
ENSMUSG00000020902	Ntn1	6592.62642838982	6381.40228004375	5669.31438365982	5505	6037.08577302335	-0.215459254856581	0.0400963066004636	-5.373543678312	7.7204092633992e-08	1.561825249408e-05
ENSMUSG00000049932	H2ax	5201.19280994888	4857.4205142364	6064.52658232574	5827	5487.53497662775	0.241262685887354	0.0449527116626203	5.36703297674414	8.00424265592082e-08	1.59132624250729e-05
ENSMUSG00000029580	Actb	22754.9695396576	22413.6036197692	25045.7670049658	24599	23703.3350410982	0.136320733488944	0.0254812425038039	5.34984640048826	8.80289131072298e-08	1.7204430458296e-05
ENSMUSG00000045382	Cxcr4	403.386267336135	407.046411807519	641.183427206246	616	516.904026587475	0.633814783033404	0.119349451013	5.31057979449244	1.09277025602195e-07	2.10012230369819e-05
ENSMUSG00000026185	Igfbp5	24711.1439323692	25932.6555319825	21702.5850260413	20653	23249.8461225982	-0.257722398413401	0.0489738962823248	-5.26244424024754	1.42152783137617e-07	2.68715367599978e-05
ENSMUSG00000002265	Peg3	34225.0837486525	34012.7981706363	31679.620251104	30397	32578.6255425982	-0.136424452188185	0.025977280714988	-5.25168333379379	1.50715415688963e-07	2.80306364243456e-05
ENSMUSG00000042942	Greb1l	8473.10364500865	8873.61177740392	9918.07582945753	9788	9263.19781296752	0.184327856427136	0.0351248199147117	5.24779505986684	1.53930393505397e-07	2.81741486906465e-05
ENSMUSG00000000142	Axin2	1807.76808695083	1797.51695454201	2229.40214632057	2285	2029.92179695335	0.324192562298578	0.0618523429302232	5.24139502143525	1.59367134866904e-07	2.8713475502348e-05
ENSMUSG00000024620	Pdgfrb	1240.03926625553	1157.09726663151	877.942250183265	881	1039.01969576757	-0.44717351517981	0.0861390582827803	-5.19129793260351	2.08833147458773e-07	3.70470003591863e-05
ENSMUSG00000025491	Ifitm1	2117.52889964598	2125.32499818433	2583.1585199516	2616	2360.50310444548	0.293186653140401	0.0574771222737689	5.10092783949631	3.37992418881843e-07	5.90513724564625e-05
ENSMUSG00000031007	Atp6ap2	1488.04711950663	1485.99076737198	1073.2452481254	1180	1306.820783751	-0.401205818646614	0.0790290028347604	-5.07669088885614	3.84064928661478e-07	6.60992939163507e-05
ENSMUSG00000034486	Gbx2	879.481664340265	922.638533430377	1276.83941107451	1170	1062.23990221129	0.442250866534351	0.0873873780558239	5.06080942549663	4.17480339933663e-07	7.07936147025745e-05
ENSMUSG00000043496	Tril	916.334236911714	1062.66249909216	1307.24034943342	1392	1169.55927135933	0.448635251739795	0.0889578568580397	5.04323358931335	4.57729904275903e-07	7.64939641479049e-05
ENSMUSG00000024427	Spry4	259.960038949954	271.364274538346	427.455618137497	449	351.944982906449	0.722219094257381	0.144819606449104	4.98702566569395	6.13159224837686e-07	9.95822397408923e-05
ENSMUSG00000070923	Klhl9	966.135010656916	962.800446062052	1300.79166553911	1258	1121.93178056452	0.40786704686505	0.0817846404336547	4.98708614114309	6.12967397938161e-07	9.95822397408923e-05
ENSMUSG00000093930	Hmgcs1	16356.5661288741	16582.5280884893	18600.7680728754	17829	17342.2155725597	0.145538844544229	0.0296039978746101	4.91618885937871	8.8245270109261e-07	0.000141327251337485
ENSMUSG00000039910	Cited2	1721.11474063418	1665.09118856729	2091.21606287095	2116	1898.3554980181	0.312804106865975	0.0639982029470795	4.8877014113136	1.02020102384393e-06	0.000161149835697868
ENSMUSG00000020598	Nrcam	154.382398610126	209.493219943603	386.921033658941	303	263.449163053168	0.927024721991451	0.192012250559424	4.8279457133104	1.37948684232599e-06	0.000214957605119742
ENSMUSG00000048001	Hes5	133.466073637141	136.767594367326	255.183634103635	260	196.354325527026	0.931042645998002	0.193522509570421	4.81103024172598	1.50154293154853e-06	0.000230857220582482
ENSMUSG00000001661	Hoxc6	465.139226780185	494.968436757943	677.111808903147	723	590.054868110319	0.544448846191699	0.113452378774992	4.79891961782041	1.59523796848956e-06	0.000239799211027106
ENSMUSG00000028946	Hes3	295.816596046499	377.739070157378	590.515196608051	504	442.017715702982	0.703395005422172	0.146612405261828	4.79764999534667	1.60537983173684e-06	0.000239799211027106
ENSMUSG00000032035	Ets1	1809.76011790064	1583.68190620579	1291.5792599758	1321	1501.50532102056	-0.378299246531487	0.0788850712416718	-4.79557463252498	1.6220916191236e-06	0.000239799211027106
ENSMUSG00000018973	Hoxb1	1405.3778350896	1401.32511371602	1809.31645263372	1728	1586.00485035983	0.334078989695858	0.0700227973247166	4.77100319409741	1.833106332496e-06	0.000267563912911536
ENSMUSG00000009418	Nav1	4312.74700633448	4240.88088248527	3660.08873030232	3697	3977.67915478052	-0.2176045213531	0.0457983442872579	-4.75136218873402	2.02050844714682e-06	0.000291231036300625
ENSMUSG00000026923	Notch1	8787.84453507832	8765.06606758858	7924.51126555765	7742	8304.85546705614	-0.16389597777515	0.0345150519554902	-4.74853631935731	2.04894096493977e-06	0.000291683188478031
ENSMUSG00000021134	Srsf5	7685.25540435955	7675.26714104258	6789.54290015809	6867	7254.26636139006	-0.169720171626497	0.0358044711607825	-4.74019490092051	2.13512735857731e-06	0.000300245775265305
ENSMUSG00000072945	Ripply1	130.478027212429	124.827566287639	48.8257494855331	49	88.2828357464003	-1.38429896906996	0.292480985147779	-4.73295372815615	2.21275946579522e-06	0.000307413607229935
ENSMUSG00000046318	Ccbe1	255.975977050338	302.842530384794	144.634767343938	156	214.863318694767	-0.893922624008204	0.190029011996739	-4.70413761885761	2.54941247049424e-06	0.000349967561872251
ENSMUSG00000032402	Smad3	3730.07795351562	3704.6650759975	3182.88612212296	3166	3445.90728790902	-0.227790702939522	0.0484623730522565	-4.70036212824118	2.59700544453032e-06	0.00035230670330446
ENSMUSG00000024366	Gfra3	89.6413927413634	105.289338520878	208.200365730764	195	149.532774248251	1.05090239197067	0.225800127152008	4.6541266615993	3.25356764797296e-06	0.000436242890102049
ENSMUSG00000029546	Uncx	644.422012262912	569.864976530527	421.006934243181	393	507.073480759155	-0.577292040490879	0.124770641114551	-4.62682595307714	3.71312294058031e-06	0.000492138168135995
ENSMUSG00000025321	Itgb8	273.90425559861	319.124386857095	460.620278165406	474	381.912230155278	0.65767001970114	0.142534293767435	4.61411778399254	3.94768518945728e-06	0.000517281339995817
ENSMUSG00000032291	Crabp1	1229.08309603158	1216.79740702994	1653.62679861381	1487	1396.62682541883	0.361288931742016	0.078423981625298	4.60686800458843	4.08779300587661e-06	0.000523737123897368
ENSMUSG00000064373	Selenop	1618.52514671906	1584.76736330394	1267.6270055112	1275	1436.47987888355	-0.33345848687089	0.0723536316735929	-4.60873185157053	4.05132429462603e-06	0.000523737123897368
ENSMUSG00000025352	Gdf11	1604.5809300704	1839.84978136999	2091.21606287095	2273	1952.16169357783	0.341969751581787	0.0744379972570291	4.59402138938518	4.34784784320923e-06	0.000544946016087452
ENSMUSG00000069601	Ank3	1372.50932441776	1314.48854586375	1024.41949863986	1059	1192.60434223034	-0.367674584255456	0.0800063459305374	-4.5955677637706	4.31572505492977e-06	0.000544946016087452
