gene_id	gene_short_name	60h_WT_rep1	60h_WT_rep2	60h_WT_rep3	66h_WT_rep1	66h_WT_rep2	66h_WT_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000062327	T	1063.23837952673	2581.24581790255	1389.17526605155	8239.86063789606	15516.236432211	16707.405450537	7582.86033068749	2.77283598798843	0.119439791099713	23.2153452585458	3.18689331685186e-119	3.97819892742618e-115
ENSMUSG00000018924	Alox15	310.177812974714	293.180751112932	264.980671690027	1522.03488088645	1190.07587683625	1306.03882098815	814.414802414754	2.18211119239746	0.11900413894306	18.336431083641	4.23717140157758e-75	2.64463053029465e-71
ENSMUSG00000037010	Apln	132.704940602584	278.835515584471	230.02577457347	804.403642748925	1313.38221768715	1456.2424441593	702.599089225984	2.42638234379751	0.132690218003337	18.2860679582008	1.0685010902664e-74	4.44603303659847e-71
ENSMUSG00000005503	Evx1	39.9713676513807	171.246249121009	96.9716500652864	476.075625300384	1208.17589017216	1226.35763064736	536.466402159597	3.08034809749338	0.173728427927651	17.7308235286408	2.42456748388898e-70	7.56646897534654e-67
ENSMUSG00000024619	Cdx1	204.653402375069	129.107119756154	56.378866317027	1476.30347845612	634.631717590433	801.391282163135	550.410977776323	2.65530027156029	0.159844167034513	16.6118058658153	5.72436801206121e-62	1.4291457178912e-58
ENSMUSG00000006445	Epha2	1871.45943343764	2257.58144129163	1519.97423590705	4564.93204259704	4685.64095233436	5171.95036614311	3345.25641195181	1.19496975243772	0.0744418289340785	16.0523964758566	5.49987706029293e-58	1.14424942239394e-54
ENSMUSG00000032232	Cgnl1	1906.63423697086	1494.59422662159	1547.03609173922	780.951641502601	657.256734260324	666.757546759729	1175.53841297572	-1.2229007031495	0.0944195735310808	-12.9517710938077	2.29595167653971e-38	3.58254559728064e-35
ENSMUSG00000081683	Fzd10	819.413036853304	1012.23568197707	776.900777848632	2297.12352207747	2084.89528613043	2334.56728941009	1554.18926571617	1.28024713654038	0.10144958653825	12.6195402093402	1.64780541463017e-36	2.05695549908284e-33
ENSMUSG00000055799	Tcf7l1	1698.78312518368	1819.15518045303	1966.4948571379	662.519035208663	862.013135122834	805.05478516731	1302.3366863789	-1.22272515976542	0.0970685327564497	-12.5965142878311	2.20683596815773e-36	2.50435758095572e-33
ENSMUSG00000102918	Pcdhgc3	400.513103866835	672.432915396634	412.693301440638	1071.75645695702	1416.32604353516	1492.87747420104	911.099882566221	1.23979008337657	0.111921136006561	11.0773543551585	1.61576559704517e-28	1.34464012986099e-25
ENSMUSG00000020902	Ntn1	401.312531219862	547.808681743125	387.886600261146	1083.48245758019	1144.82584349647	1230.93700940258	799.375520617227	1.25026765636392	0.118493923523634	10.551322963954	5.00868143430931e-26	3.9077106465302e-23
ENSMUSG00000036913	Trim67	346.951471213984	405.252903679038	310.083764743648	746.946239695431	989.844479307717	1031.27609567507	638.392492385816	1.22813411296075	0.123692185387239	9.92895476068978	3.11503644185268e-23	1.94424999518235e-20
ENSMUSG00000025219	Fgf8	268.607590617278	390.011090930048	329.252579291438	629.686233463809	944.594445967935	862.754957483055	570.817816292261	1.21873604739714	0.128952452663644	9.45104976464512	3.35449366592565e-21	1.82061497529347e-18
ENSMUSG00000048528	Nkx1-2	1333.44482485006	1361.90079798332	970.844077979205	5486.59569157758	3707.10898136159	4240.50472733179	2850.06651684726	1.75515822743526	0.194730124225449	9.01328561472713	1.99973619011952e-19	8.05248608427806e-17
ENSMUSG00000018973	Hoxb1	769.049113612564	104.002957581346	72.1649488857946	1744.82889272653	255.662688369765	279.342104068293	537.508450874049	1.26258056808505	0.142866450215917	8.83748820088188	9.7894576212882e-19	3.70308483292547e-16
ENSMUSG00000000184	Ccnd2	438.88561681216	593.534119990096	382.248713629443	2236.14831883703	1852.98886526405	2205.42880851295	1284.87240717429	2.01642537865444	0.231348392806262	8.71596882172011	2.88282650655401e-18	1.05842127297981e-15
ENSMUSG00000029287	Tgfbr3	546.00888211786	1499.07711272423	1048.6469134967	1497.41027957781	2496.67058952244	2433.4818705228	1586.88260799364	1.0164507615966	0.127357060840235	7.98111039066536	1.45022691483128e-15	3.93547447344323e-13
ENSMUSG00000037306	Man1c1	147.894060310109	233.1100773375	157.860825687676	367.023819504976	572.412921748234	517.469799339625	332.62858398802	1.25983956567929	0.16435435307271	7.66538605230579	1.78294095681521e-14	4.28008691613928e-12
