gene_id	gene_name	max.value	cluster2	relabelled_cluster
ENSMUSG00000055839	Elob	8.075698411775	a	a
ENSMUSG00000109936	Gm45889	8.41350523126661	b	g
ENSMUSG00000013584	Aldh1a2	8.75348754253127	c	k
ENSMUSG00000062327	T	9.61835246306256	d	e
ENSMUSG00000047002	Msgn1	7.49814713019468	e	f
ENSMUSG00000030699	Tbx6	7.5618988845026	c	k
ENSMUSG00000024619	Cdx1	7.58740249811947	e	f
ENSMUSG00000036980	Taf6	5.46920874024883	f	j
ENSMUSG00000044338	Aplnr	6.97286494009896	e	f
ENSMUSG00000027679	Dnajc19	5.66554058058466	g	o
ENSMUSG00000019987	Arg1	6.538702661216	b	g
ENSMUSG00000002416	Ndufb2	5.89374322222642	h	m
ENSMUSG00000022881	Rfc4	5.58226996458301	i	d
ENSMUSG00000022751	Nit2	5.36583598780868	a	a
ENSMUSG00000018973	Hoxb1	7.32386541500292	e	f
ENSMUSG00000002768	Mea1	5.91309285561437	a	a
ENSMUSG00000011096	Akt1s1	5.54340926963128	a	a
ENSMUSG00000074445	Sprr2a3	6.29932892490517	e	f
ENSMUSG00000035953	Pip4p1	5.1876252437905	j	h
ENSMUSG00000023781	Hes7	6.02937337192792	b	g
ENSMUSG00000044927	H1f10	5.22579933873376	e	f
ENSMUSG00000057388	Mrpl18	6.4488530586879	k	b
ENSMUSG00000085696	Hoxaas3	7.3327079336406	b	g
ENSMUSG00000026497	Mixl1	7.49718121702496	l	i
ENSMUSG00000038539	Atf5	5.69482727444301	g	o
ENSMUSG00000048528	Nkx1-2	8.08358037892925	d	e
ENSMUSG00000048583	Igf2	7.49027328208991	b	g
ENSMUSG00000057963	Itpk1	5.23360050460519	c	k
ENSMUSG00000014773	Dll1	7.67883954147487	c	k
ENSMUSG00000075588	Hoxb2	5.78147512451155	e	f
ENSMUSG00000029646	Cdx2	7.22568946001544	e	f
ENSMUSG00000009900	Wnt3a	5.87487072142849	e	f
ENSMUSG00000019880	Rspo3	6.16580544080282	b	g
ENSMUSG00000051159	Cited1	6.78830724060412	c	k
ENSMUSG00000000958	Slc7a7	5.49783906615011	k	b
ENSMUSG00000029844	Hoxa1	7.21238451575457	e	f
ENSMUSG00000047751	Utf1	7.45792255758421	k	b
ENSMUSG00000019494	Cops6	6.38431234234846	m	c
ENSMUSG00000042942	Greb1l	6.36447963460613	b	g
ENSMUSG00000023036	Pcdhgc4	5.65544342538989	k	b
