 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
1,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_1_10,35.078,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_1_10,1.213,0.451,1,1,0.131,0.718,0,0,0.459,0.848,0,0
2,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_2_10,40.253,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_2_10,1.514,0.608,2,2,0.343,1.128,0,0,0.943,1.048,0,0
3,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_3_10,120.760,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_3_10,1.262,0.589,1,1,0.781,1.601,0,0,1.143,1.053,2,2
4,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_4_10,27.027,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_4_10,1.426,0.500,1,1,0.851,1.655,0,0,0.468,0.856,0,0
5,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_5_10,52.329,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_5_10,1.231,0.518,1,1,0.879,1.666,0,0,1.407,0.919,2,2
6,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_6_10,41.978,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_6_10,1.466,0.502,1,1,1.151,1.823,0,0,1.151,0.995,2,2
7,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_7_10,28.752,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_7_10,1.160,0.584,1,1,0.880,1.674,0,0,0.840,1.057,0,0
8,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8_10,39.103,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8_10,1.162,0.444,1,1,0.588,1.427,0,0,0.941,1.006,0,0
9,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_9_10,42.553,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_9_10,1.541,0.578,2,2,0.108,0.653,0,0,0.743,1.073,0,0
10,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_10_10,118.459,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_10_10,1.350,0.571,1,1,1.262,1.863,0,0,1.398,0.920,2,2
11,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_11_10,29.327,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_11_10,1.490,0.543,2,2,0.216,0.415,0,0,1.392,0.961,2,2
