 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
1,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_1_3,30.477,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_1_3,1.283,0.533,1,1,0.453,1.280,0,0,0.340,0.758,0,0
2,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_2_3,35.653,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_2_3,1.194,0.538,1,1,0.710,1.541,0,0,0.581,0.915,0,0
3,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_3_3,37.953,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_3_3,1.333,0.536,1,1,1.152,1.825,0,0,1.333,0.950,2,2
4,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_4_3,39.678,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_4_3,1.246,0.467,1,1,0.406,1.217,0,0,1.116,1.022,2,2
5,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_5_3,28.177,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_5_3,1.286,0.577,1,1,0.408,1.223,0,0,0.531,0.892,0,0
6,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_6_3,33.928,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_6_3,1.356,0.905,1,1,0.814,1.624,0,0,0.847,0.997,0,0
7,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_7_3,32.778,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_7_3,1.386,0.648,1,1,0.000,0.000,0,0,0.316,0.736,0,0
8,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_8_3,33.353,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_8_3,1.414,0.531,1,1,0.552,1.391,0,0,0.569,0.939,0,0
9,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_9_3,27.602,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_9_3,1.292,0.544,1,1,0.333,1.117,0,0,0.875,1.003,0,0
10,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_10_4,43.703,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_10_4,1.382,0.516,1,1,0.684,1.516,0,0,0.842,0.994,0,0
