 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
1,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_1_14,26.242,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_1_14,3.730,1.810,5,2,4.745,3.242,6,6,11.379,2.991,11,11
2,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_2_14,27.546,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_2_14,3.361,1.631,2,2,3.660,3.237,6,6,11.216,3.097,11,11
3,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_3_14,39.200,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_3_14,3.198,1.703,2,2,6.628,3.483,6,6,13.580,3.316,15,15
4,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_4_14,30.562,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_4_14,3.533,1.813,5,5,4.419,3.814,6,6,10.549,3.217,11,11
5,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5_15,33.088,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5_15,45.074,15.161,43,40,37.899,10.781,40,40,112.505,14.030,111,105
6,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_6_15,27.220,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_6_15,36.440,9.871,34,32,32.057,10.713,33,33,130.317,14.088,131,129
7,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_7_15,29.665,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_7_15,39.549,12.757,40,40,64.739,13.730,66,60,132.332,13.747,133,121
8,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_8_15,40.260,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_8_15,54.512,17.158,55,37,48.903,18.080,46,40,145.217,21.334,145,138
9,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_9_15,25.509,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_9_15,48.211,18.338,43,40,63.288,11.569,60,60,125.553,15.655,125,125
10,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_10_15,34.637,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_10_15,52.906,19.613,52,37,45.468,14.300,40,40,146.901,19.936,146,142
