"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"T",2.38009822036594e-134,-2.83860968535371,0.037,0.965,7.85718024507205e-130,"Epiblast","T"
"Fst",1.01570092295028e-127,-2.93155972038201,0.242,0.975,3.35303188684345e-123,"Epiblast","Fst"
"Utf1",3.11429800902529e-126,2.50988270221855,0.987,0.374,1.02809205873943e-121,"Epiblast","Utf1"
"Pou3f1",1.05007402748641e-121,2.46646769343487,0.965,0.345,3.46650437953815e-117,"Epiblast","Pou3f1"
"Mixl1",9.31011135846966e-107,-2.32539868137892,0.032,0.813,3.073453961658e-102,"Epiblast","Mixl1"
"Rasgrp2",4.22455966746077e-106,1.79428507660422,0.935,0.344,1.39461163742215e-101,"Epiblast","Rasgrp2"
"Sp5",1.24422433653082e-103,-1.36940145067829,0.022,0.778,4.10743337975554e-99,"Epiblast","Sp5"
"Cbr3",1.77607727580936e-102,1.66706873264263,0.927,0.445,5.86318630290185e-98,"Epiblast","Cbr3"
"Fgf8",2.34026973101377e-95,-1.81454113632935,0.109,0.845,7.72569843602266e-91,"Epiblast","Fgf8"
"Rps15a-ps7",4.18508945234032e-94,-0.850314427930289,0.1,0.795,1.38158173000659e-89,"Epiblast","Rps15a-ps7"
"Macroh2a1",1.58941303969967e-92,-1.07065862033155,0.207,0.889,5.24697032665654e-88,"Epiblast","Macroh2a1"
"Tspan13",2.91431521138189e-90,-1.11734873466826,0.36,0.929,9.6207373758139e-86,"Epiblast","Tspan13"
"Rbp1",2.51555752856959e-89,-1.28304604130156,0.288,0.905,8.30435851331392e-85,"Epiblast","Rbp1"
"Cdkn1a",7.24700477034468e-84,-1.28689211261116,0.398,0.948,2.39238121478619e-79,"Epiblast","Cdkn1a"
"Axin2",7.75335527374034e-80,-0.75464705766025,0.08,0.769,2.55953764296716e-75,"Epiblast","Axin2"
"Cdx1",2.43005145455006e-78,-0.662369387746296,0.012,0.624,8.02208586176065e-74,"Epiblast","Cdx1"
"Ccnd2",1.55750346209842e-75,-0.86999137532955,0.062,0.687,5.14163042907931e-71,"Epiblast","Ccnd2"
"Slc7a3",2.14993091121818e-74,1.11838555572395,0.778,0.234,7.09735192411346e-70,"Epiblast","Slc7a3"
"Ppp4r4",1.52143236209485e-72,-0.61132635559018,0.034,0.639,5.02255251374751e-68,"Epiblast","Ppp4r4"
"Dnmt3a",1.22210778763149e-71,1.0621955967805,0.873,0.543,4.03442222852907e-67,"Epiblast","Dnmt3a"
"Oat",4.51132622088081e-71,-0.972976584915673,0.531,0.94,1.48927901203717e-66,"Epiblast","Oat"
"Grsf1",9.75025093794287e-69,-1.20834582209684,0.477,0.927,3.2187528396337e-64,"Epiblast","Grsf1"
"Gm32885",2.69172243974167e-67,0.909857883385378,0.599,0.067,8.88591411807522e-63,"Epiblast","Gm32885"
"Wnt8a",2.73430623252433e-66,-0.55707379856808,0.029,0.584,9.02649173480931e-62,"Epiblast","Wnt8a"
"Sall3",2.98716903521643e-66,-0.615100360578546,0.063,0.646,9.86124241905646e-62,"Epiblast","Sall3"
"Ebp",4.50135152499484e-66,-0.724099729019099,0.195,0.808,1.4859861654313e-61,"Epiblast","Ebp"
"Nkx1-2",4.99700187521786e-66,-0.66811833628232,0.019,0.55,1.64961025904692e-61,"Epiblast","Nkx1-2"
"Epha1",2.64208572056249e-65,-0.699427960550088,0.229,0.818,8.7220533807209e-61,"Epiblast","Epha1"
