"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Zfp42",2.59768844708589e-147,3.37246821721559,0.995,0.034,8.57548910151993e-143,"ESCs","Zfp42"
"Spp1",2.98201602417843e-144,3.02176209375081,0.973,0.019,9.84423129901783e-140,"ESCs","Spp1"
"Hspb1",1.58362021413711e-137,3.16741781066656,0.98,0.092,5.22784705090944e-133,"ESCs","Hspb1"
"Klf2",1.9122426117785e-136,2.53220181875384,0.964,0.034,6.3126953100032e-132,"ESCs","Klf2"
"Dppa5a",4.13097581430097e-136,4.30736668279948,0.999,0.207,1.36371773581704e-131,"ESCs","Dppa5a"
"Trap1a",1.17502972877507e-135,2.35692459776633,0.974,0.034,3.87900814063225e-131,"ESCs","Trap1a"
"Cd9",2.38769821497639e-134,2.58451675998835,0.99,0.204,7.88226934728006e-130,"ESCs","Cd9"
"Tdh",1.31450197239998e-129,2.26497229295179,0.955,0.076,4.33943391128682e-125,"ESCs","Tdh"
"Nanog",2.03840125928172e-128,1.89912861007757,0.93,0.076,6.72917023714082e-124,"ESCs","Nanog"
"Chchd10",6.2177482812664e-128,2.78025367437727,0.998,0.371,2.05260306261166e-123,"ESCs","Chchd10"
"Mylpf",3.17434369390291e-127,2.0304765282727,0.923,0.066,1.04791434023123e-122,"ESCs","Mylpf"
"Calcoco2",8.28785883990387e-127,2.01942788061929,0.88,0.004,2.73598796022907e-122,"ESCs","Calcoco2"
"Tfcp2l1",2.5682049695549e-126,1.94976763442692,0.904,0.016,8.47815824549463e-122,"ESCs","Tfcp2l1"
"Upp1",2.51616349650332e-125,2.40626246486682,0.982,0.273,8.30635893465676e-121,"ESCs","Upp1"
"Khdc3",2.14520522146336e-123,1.85149960970348,0.879,0.003,7.08175147709486e-119,"ESCs","Khdc3"
"Stmn2",3.09321269156685e-122,2.33533760445071,0.975,0.21,1.02113137374005e-117,"ESCs","Stmn2"
"Ooep",3.13396232626509e-120,1.78969916614164,0.894,0.028,1.03458364314663e-115,"ESCs","Ooep"
"Rbmxl2",3.68962689149831e-116,1.75902649615395,0.93,0.089,1.21801962942142e-111,"ESCs","Rbmxl2"
"Morc1",4.95818762522289e-113,1.40108260798387,0.842,0.016,1.63679689883858e-108,"ESCs","Morc1"
"Mt2",2.49481838770422e-112,2.35011801563386,0.949,0.21,8.23589446148917e-108,"ESCs","Mt2"
"Tdgf1",7.41409179948256e-112,2.10468686461389,0.955,0.122,2.44753998484518e-107,"ESCs","Tdgf1"
"Sox11",8.04293459142923e-112,-2.46675998001594,0.298,0.948,2.65513356732262e-107,"ESCs","Sox11"
"Akap12",2.42059258786462e-111,2.05374576763922,0.963,0.286,7.99086025105869e-107,"ESCs","Akap12"
"Fam25c",2.44890450452902e-111,1.64663682981414,0.844,0.006,8.08432355035121e-107,"ESCs","Fam25c"
"Ckb",1.45240349113675e-110,2.40894429196819,0.989,0.317,4.79467440494064e-106,"ESCs","Ckb"
"Fbxo15",4.60191099280597e-110,1.44102728877056,0.84,0.016,1.51918285694511e-105,"ESCs","Fbxo15"
