"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Frzb",0,-0.675665341303961,0.055,0.583,0
"Ndufa4l2",0,-0.61594410976843,0.106,0.687,0
"Lhx1",0,-2.2030952821285,0.133,0.851,0
"Gsc",0,-1.38433518415248,0.382,0.975,0
"Gata6",0,-0.844497396219122,0.045,0.672,0
"Upp1",9.69802706846217e-294,-1.75445379004481,0.526,0.965,3.20151269584073e-289
"Dkk1",2.5856292867138e-282,-1.42149984966808,0.264,0.843,8.53567940129961e-278
"Tdgf1",1.02046557479773e-261,-1.43142792824997,0.714,0.992,3.36876095552227e-257
"Mesp1",7.26417130355276e-247,-1.63545454962717,0.12,0.623,2.39804823072884e-242
"Cdh2",4.18894980752746e-244,-0.885770361987971,0.373,0.899,1.38285611046097e-239
"Msx1",2.58839802575169e-233,-0.885265171779816,0.157,0.668,8.54481956261147e-229
"Eomes",8.89495425895237e-233,-1.20225029928544,0.503,0.947,2.93640229996536e-228
"Pcdh7",2.98306080221498e-219,-0.489950714621839,0.129,0.622,9.8476803202721e-215
"Nxph4",2.40192864787692e-213,-0.325333807017191,0.048,0.435,7.92924685237128e-209
"Cyp26a1",2.01213677163807e-207,-0.663411960198955,0.053,0.437,6.64246591053161e-203
"Mixl1",1.1452280107567e-206,-1.2195577875625,0.77,0.995,3.78062670911003e-202
"Dlc1",1.17609619960462e-203,-0.556470609318368,0.115,0.57,3.88252877413478e-199
"Cdh11",1.13611659063368e-187,-0.411131707532332,0.062,0.437,3.75054808899991e-183
"Lmo1",3.60179901332093e-179,-0.51861311122198,0.071,0.445,1.1890258902775e-174
"Rbms1",1.92187123178449e-178,-0.728865728266722,0.64,0.951,6.34448131036697e-174
"Hmga2",1.31166162064562e-173,-0.728192323929401,0.355,0.812,4.33005734207533e-169
"Lrig3",3.30979292854285e-173,-0.51997783754382,0.188,0.643,1.09262884157056e-168
"Trim54",6.04938406519158e-173,-0.507631502096925,0.115,0.526,1.99702266760104e-168
"Sp5",1.34744320583009e-172,-1.05163001374289,0.752,0.972,4.44817951108629e-168
"Otx2",1.52538758803783e-162,-0.768527204436317,0.245,0.686,5.03560950563048e-158
"Adam19",1.04732457887061e-161,-0.372029874197495,0.11,0.51,3.45742789976765e-157
"Lzts1",1.19572661243072e-155,-0.41012475877037,0.174,0.602,3.94733269295629e-151
"Plxna2",9.94016104811989e-142,-0.312632927404257,0.074,0.409,3.28144596520534e-137
"Efna3",1.95951278202534e-135,-0.456945179624891,0.203,0.606,6.46874359602206e-131
"Arl4c",2.21747739636397e-134,0.606385142696815,0.645,0.149,7.32033638087673e-130
"Nptx2",3.1844751819868e-132,-0.330057237335823,0.071,0.383,1.05125894707748e-127
"Sall1",4.58054266319363e-127,-0.420597146666956,0.203,0.595,1.51212874397348e-122
"Grrp1",1.05563815419872e-120,-0.58387841597994,0.485,0.855,3.48487267464082e-116
"Fn1",4.73121230167357e-120,-0.956853085796058,0.485,0.811,1.56186780502848e-115
"Smad1",1.69119836779004e-107,-0.549100678451401,0.561,0.863,5.58298405174849e-103
"Nkx1-2",7.03445788555297e-104,0.649667469779831,0.632,0.224,2.32221523717875e-99
"Rbm47",4.41668199801411e-93,-0.33697593814384,0.227,0.574,1.45803506118442e-88
"Rspo3",1.53832118556501e-90,-0.442274674898016,0.382,0.751,5.07830589778721e-86
"Foxa2",2.21547303445568e-88,-0.689304417768294,0.225,0.538,7.3137195813451e-84
