gene_id	gene_short_name	chr	gene_biotype	genotype_Cdh2_Cdh2KO_Clone1vsCdh2Het_l2fc	genotype_Cdh2_Cdh2KO_Clone1vsCdh2Het_padj	genotype_Cdh2_Cdh2KO_Clone1vsCdh2Het_signif	genotype_Cdh2_Cdh2KO_Clone2vsCdh2Het_l2fc	genotype_Cdh2_Cdh2KO_Clone2vsCdh2Het_padj	genotype_Cdh2_Cdh2KO_Clone2vsCdh2Het_signif	genotype_Snai1_Snai1KO_Clone1vsWT_l2fc	genotype_Snai1_Snai1KO_Clone1vsWT_padj	genotype_Snai1_Snai1KO_Clone1vsWT_signif	genotype_Snai1_Snai1KO_Clone2vsWT_l2fc	genotype_Snai1_Snai1KO_Clone2vsWT_padj	genotype_Snai1_Snai1KO_Clone2vsWT_signif
ENSMUSG00000051951	Xkr4	chr1	protein_coding	0.783572892870705	NA	FALSE	0.709643487790686	NA	FALSE	1.68597679014941	4.80267175228717e-08	TRUE	1.42826350816184	1.20050660347647e-05	TRUE
ENSMUSG00000025900	Rp1	chr1	protein_coding	NA	NA	FALSE	2.37863507507067	NA	FALSE	-1.55403334921665	NA	FALSE	-1.71426418860902	NA	FALSE
ENSMUSG00000025902	Sox17	chr1	protein_coding	-0.244408364834922	0.898376494607853	FALSE	0.00446946975307774	0.999999618177928	FALSE	0.177862113994021	0.756146305273429	FALSE	1.01596291977245	0.0038963700326203	TRUE
ENSMUSG00000033845	Mrpl15	chr1	protein_coding	-0.20496198102831	0.0917696827506603	FALSE	-0.0535055405074062	0.999999618177928	FALSE	0.0196513269088424	0.877437974099602	FALSE	0.103143539198994	0.309890566314362	FALSE
ENSMUSG00000025903	Lypla1	chr1	protein_coding	-0.0702226850296228	0.672045428380982	FALSE	-0.043299738331944	0.999999618177928	FALSE	0.123053144746379	0.108554932073439	FALSE	0.0813447839252541	0.342986467576613	FALSE
ENSMUSG00000033813	Tcea1	chr1	protein_coding	-0.142458062186569	0.122845917224778	FALSE	-0.0322871950667237	0.999999618177928	FALSE	0.0106026867015796	0.915076512423738	FALSE	-0.05286680982114	0.547235517985512	FALSE
ENSMUSG00000002459	Rgs20	chr1	protein_coding	0.00912940173840096	NA	FALSE	0.100529113702313	NA	FALSE	0.606433452843544	0.331127518823024	FALSE	0.596948672146247	0.330407304194713	FALSE
ENSMUSG00000033793	Atp6v1h	chr1	protein_coding	-0.145592384797	0.496241148899621	FALSE	-0.128823923587465	0.982639349404663	FALSE	0.00396429051389054	0.982154463337791	FALSE	0.126549966243086	0.287911678789012	FALSE
ENSMUSG00000025905	Oprk1	chr1	protein_coding	2.34400096585651	NA	FALSE	2.22819181520475	NA	FALSE	1.29894842254252	0.155691908723603	FALSE	0.84856510310658	0.445972543952063	FALSE
ENSMUSG00000033774	Npbwr1	chr1	protein_coding	0.037479951996358	0.979026210869909	FALSE	0.265877021184137	0.999999618177928	FALSE	-6.80391523569196	5.52675711491998e-18	TRUE	-5.79291729003239	3.70158746587731e-26	TRUE
